date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,鳴門,1,1-2-3,6.1,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,6.1,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,2-1-3,118.9,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,118.9,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,3-1-2,69.4,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,69.4,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-2-4,22.8,0,17.776666666666667,0.16,30.0,35.0,30.0,30.0,2.0,22.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,3-1-4,130.8,0,20.633333333333333,0.15666666666666665,30.0,35.0,30.0,30.0,2.0,130.8,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-2-5,15.6,0,17.776666666666667,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,15.6,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,3-1-5,73.5,0,20.633333333333333,0.17,30.0,35.0,30.0,30.0,2.0,73.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,4-1-5,149.5,0,22.22,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,149.5,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-2-6,16.1,0,16.596666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,16.1,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,3-1-6,98.1,0,19.453333333333333,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,98.1,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,4-1-6,173.4,0,21.04,0.17,30.0,35.0,30.0,30.0,2.0,173.4,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
2026-08-18,鳴門,1,1-3-2,6.2,0,16.19,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,6.2,0.0,0,0,6.8,6.8,1.0,0.45,5.0,30.0
